,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100
853,91.9986294,2166.33789,8789333.21,119.316556,2224.05961,8721478.21,314.242079,2303.37028,8545588.15,3706.01309,2270.68672,8328561.62,39861.9644,2255.45773,8227131.07,91.9986294,2166.33789,8789333.21,8789333.21,2167.25649,-5389.06634,-0.353872047,119.316556,2224.05961,8721478.21,8721478.21,2224.95134,-4112.05769,-0.274266657,314.242079,2303.37028,8545588.15,8545588.15,2304.22715,-3084.61478,-0.211606185,3706.01309,2270.68672,8328561.62,8328561.62,2271.54925,-2573.0208,-0.18468294,39861.9644,2255.45773,8227131.07,8227131.07,2256.32575,-2676.74465,-0.193673898,91.7587954,0.00971186057,0.00906025614,118.341157,0.00872897309,0.00796430326,310.272944,0.00606460477,0.00498695438,3659.71622,0.00405954562,0.00346559332,39399.2101,0.00396076336,0.615651808,91.7587954,2171.3013,8802750.15,8802750.15,2172.32455,-4010.90581,-0.23565079,118.341157,2240.18673,8761213.25,8761213.25,2241.17852,-2135.84327,-0.125799457,310.272944,2329.41469,8600684.09,8600684.09,2330.36848,-394.19677,-0.0234365668,3659.71622,2296.52582,8379511.54,8379511.54,2297.49326,-18.2602937,-0.0010999451,39399.2101,2279.66383,8272560.7,8272560.7,2280.62429,8.66282956,0.000520417585
833,241.077965,63.1028182,26.3861741,284.773632,63.1636578,26.6722016,579.91252,62.9126024,25.2753412,5687.36853,62.5697198,23.1923137,42717.4774,62.5978068,23.3670398,241.077968,63.1028181,26.3861739,8268747.62,2255.56242,-7134.5138,-0.483010202,284.773634,63.1636578,26.6722015,8320043.11,2214.43316,-6507.27352,-0.436824352,579.912521,62.9126024,25.2753411,8179869.19,2215.63319,-4436.02186,-0.308511946,5687.36853,62.5697198,23.1923137,7977886.34,2218.36391,-2713.25263,-0.199468477,42717.4774,62.5978068,23.3670398,8007056.51,2229.0418,-2690.18404,-0.196672526,241.077965,0.0019405239,0.000712087987,284.773632,0.00242031811,0.000977902489,579.91252,0.00287497666,0.00125396137,5687.36853,0.00257334558,0.00315897782,42717.4774,0.0153142454,25.1606382,4.81392215,62.5301663,23.1866054,8268747.62,2255.54647,3432.33728,0.247885718,5.2192703,62.8454849,25.0724713,8320043.11,2214.42411,2909.13873,0.201420223,5.71352577,63.1697584,26.7821227,8180513.97,2215.96645,1449.84442,0.09795094,5.97005424,63.3169676,27.4808723,8083636.02,2276.40995,349.412371,0.0234433486,5.99699201,63.3316968,27.5481145,8097062.77,2278.71975,274.725907,0.018394582
690,116.797655,61.4472881,14.7009237,146.00204,61.6546151,16.4682365,448.244087,62.2610835,21.1274609,5897.34359,62.5500288,22.9941692,63171.7562,62.5717732,23.1315135,116.797655,61.4472881,14.7009237,9892088.77,3153.25062,-773.794902,-0.0641666771,146.00204,61.6546151,16.4682365,9820783.21,3041.23131,-452.984365,-0.0356194003,448.244087,62.2610835,21.1274609,9515036.15,2619.47512,-1318.47634,-0.0929915455,5897.34359,62.5500288,22.9941692,8393178.65,2288.91437,-2254.93621,-0.162316312,63171.7562,62.5717732,23.1315135,8260852.54,2233.79904,-2599.31698,-0.188037637,116.797655,0.00563452284,0.00370551391,146.00204,0.00570403873,0.0036250153,448.244087,0.00380128942,0.00192985974,5897.34359,0.00248057552,0.000994279003,63171.7562,0.00230196891,0.0301260491,2.99991051,60.0151289,0.175363681,9892088.77,3153.22303,2439.5776,1.85225514,3.07359156,60.1686223,1.92823655,9820783.32,3041.20169,3158.17486,0.725743162,3.88634847,61.5228784,15.3481936,9515951.01,2620.00283,3735.88876,0.309128612,5.65591765,63.1307228,26.5153627,8416669.25,2301.6396,3000.74858,0.200867971,5.96367669,63.3130476,27.4551104,8317012.35,2263.28805,2917.31782,0.193058299
293,53.8603216,61.9414717,18.8548596,110.659561,62.6370132,23.7188968,444.499446,62.9102585,25.318499,6215.9892,62.6030211,23.3958664,61968.6352,62.5861268,23.2810455,53.8603216,61.9414717,18.8548596,6501914.48,3020.95512,-1647.82709,-0.148826189,110.659561,62.6370132,23.7188968,7617674.34,2636.43717,-2734.13232,-0.203404747,444.499446,62.9102585,25.318499,8481794.95,2348.84168,-3222.76976,-0.219920856,6215.9892,62.6030211,23.3958664,8421707.25,2252.05331,-2995.91538,-0.213432182,61968.6352,62.5861268,23.2810455,8101004.91,2260.60406,-2755.443,-0.20064149,53.8603216,0.0134225383,0.0087377154,110.659561,0.00799621697,0.00539805388,444.499446,0.00404923364,0.00274078382,6215.9892,0.0023928537,0.00212976564,61968.6352,0.00339999707,2.24796953,4.26225773,60.4108366,4.61124138,6501914.42,3020.92427,4812.855,0.878968325,4.69518088,60.9879621,10.5049918,7617702.48,2636.43777,3148.61771,0.351973585,5.84266923,62.1031552,19.9880521,8499975.34,2359.87773,398.494506,0.0305723109,6.85728687,62.77794,24.5090986,8497006.72,2291.88999,-322.553675,-0.0223514316,6.98541364,62.8491964,24.9329576,8143221.52,2284.51013,-351.927938,-0.0246983944
252,410.475117,62.6801279,23.3696637,485.180535,62.6890491,23.4840637,828.303557,62.5463081,22.7581664,5945.01068,62.5286379,22.8849836,42775.4077,62.593083,23.3310408,410.475117,62.6801279,23.3696637,7528179.81,2164.22123,-2822.35161,-0.212784453,485.180535,62.6890491,23.4840636,7447996.69,2125.68097,-2939.64811,-0.222274164,828.303558,62.5463081,22.7581664,7406665.93,2162.35152,-2698.82675,-0.20787152,5945.01068,62.5286379,22.8849836,7877093.33,2208.77132,-2526.70605,-0.188189948,42775.4077,62.593083,23.3310408,7994012.78,2227.85829,-2667.13716,-0.195297136,410.475117,0.00107946832,0.000360788968,485.180535,0.0013856535,0.000528568035,828.303557,0.00201500021,0.000889005235,5945.01068,0.00246153373,0.00330606276,42775.4077,0.015456839,25.4709634,2.98786721,66.6700905,33.0153681,7528179.81,2164.34046,-1152.50474,-0.07310375,2.99270358,66.6687214,32.9648379,7447996.72,2125.80208,-1126.17795,-0.0718723442,2.99756226,66.6673517,32.9142257,7408387.9,2163.46047,-1141.45033,-0.0730976372,2.99975597,66.6667352,32.8914235,7992461.26,2273.18452,-1198.55543,-0.0739224786,2.99997559,66.6666735,32.8891424,8085066.39,2278.3104,-1201.0841,-0.0736555279
557,244.422879,63.4064581,27.7945723,273.936992,63.2685104,26.9893383,541.370057,62.9734729,25.4655757,5997.24471,62.6571863,23.7404407,18388.7022,62.6954881,23.9918713,244.422879,63.4064581,27.7945723,8255174.68,2094.97636,-6243.31357,-0.412165861,273.936992,63.2685104,26.9893383,8308163.85,2165.88283,-5928.07439,-0.395881311,541.370057,62.9734729,25.4655757,7994679.19,2276.69613,-4723.79418,-0.331065326,5997.24471,62.6571863,23.7404407,7712002.28,2267.0074,-3226.48072,-0.238452078,18388.7022,62.6954881,23.9918713,7556434.81,2157.29535,-2249.30084,-0.167054052,244.422879,0.00272078085,0.00176128566,273.936992,0.00313647532,0.00208646321,541.370057,0.00331220121,0.00220520962,5997.24471,0.00794898268,10.8257919,18388.7022,0.0732862986,137.95657,4.66452082,63.8283246,30.6674908,8255174.79,2094.98921,-4404.11652,-0.276793917,4.79243121,63.8968855,30.584054,8308210.79,2165.92173,-4762.68968,-0.298779645,4.92860846,63.9656063,30.4693082,8014109.58,2287.61697,-5151.14224,-0.329643568,4.99275805,63.9965601,30.4072918,7783053.59,2311.14375,-5076.01876,-0.329958512,4.99927476,63.999656,30.4007328,7730924.19,2258.87187,-4841.58738,-0.315813028
183,129.148775,61.6728028,16.4802407,237.387599,62.0038337,19.1948404,619.250797,62.3050182,21.4104498,5995.84144,62.4911398,22.6614728,61469.4672,62.5697871,23.169764,129.148775,61.6728028,16.4802407,6773319.41,2902.27658,-3490.80781,-0.330402546,237.387599,62.0038337,19.1948404,7093592.55,2570.13924,-3958.06107,-0.339200995,619.250797,62.3050182,21.4104498,7418322.51,2345.49829,-3837.43358,-0.304491463,5995.84144,62.4911398,22.6614728,8115568.6,2252.61306,-2993.99404,-0.220773727,61469.4672,62.5697871,23.169764,8177724.06,2257.54438,-2737.33597,-0.198861666,129.148775,0.003140534,0.000737649061,237.387599,0.00261830285,0.00079086433,619.250797,0.00266842444,0.00114755513,5995.84144,0.00245556408,0.00145259612,61469.4672,0.00281440973,0.974496431,2.50423065,61.3457239,13.9642739,6773319.41,2902.26964,5788.48358,0.595188935,3.02888399,62.2680286,21.3329026,7093592.55,2570.14562,4220.17614,0.343061895,4.09982195,63.4162178,28.0423039,7418324.82,2345.52964,1174.44869,0.0814280957,4.8948525,63.9429162,30.2010442,8137423.56,2264.13304,-434.172606,-0.0276954214,4.98931557,63.9943096,30.3804758,8222221.06,2281.84401,-736.186524,-0.0465796266
898,370.226138,60.8249392,6.95851874,396.0826,60.9095579,7.865145,688.274782,61.6552535,15.3569219,6616.28949,62.5064381,22.5479494,61812.5208,62.569848,23.0970988,370.226138,60.8249392,6.95851874,7819973.25,2723.02045,-293.635981,-0.0398059723,396.0826,60.9095579,7.865145,7835472.98,2709.44965,92.5871123,0.0117940934,688.274782,61.6552535,15.3569219,8007984.04,2506.21548,-772.783523,-0.0696857801,6616.28949,62.5064381,22.5479494,8280139.28,2262.91987,-2443.73725,-0.178847207,61812.5208,62.569848,23.0970988,8246531.95,2236.80202,-2589.597,-0.187636703,370.226138,0.00319995046,0.00476807856,396.0826,0.00355620394,0.0053178926,688.274782,0.00325996615,0.004716691,6616.28949,0.00226434957,0.0024973726,61812.5208,0.00237853072,0.0850465292,4.65746151,60.0086375,0.101406849,7819973.25,2723.00233,699.691822,0.785724908,4.85922036,60.0991928,1.14972894,7835472.98,2709.43156,1516.29777,0.505189314,5.79363908,60.99706,10.6019166,8007984.84,2506.19998,3426.17901,0.371840112,7.64216053,62.3114089,21.4767442,8301144.59,2273.57955,3088.33685,0.231297774,7.96222292,62.4808582,22.6240506,8300088.15,2264.88151,2884.23958,0.210477074
444,54.8664021,60.5579849,6.22557433,90.9039187,61.4760102,15.0434033,384.926893,62.3706479,21.9251668,5778.66174,62.5655388,23.1630677,34797.462,62.6189704,23.4962985,54.8664021,60.5579849,6.22557433,4610479.17,3150.94603,-758.035121,-0.141490273,90.9039187,61.4760102,15.0434033,6143463.88,2828.75235,-2045.79269,-0.212805044,384.926894,62.3706479,21.9251668,7527916.41,2471.63443,-2687.9067,-0.209221033,5778.66174,62.5655388,23.1630677,7949009.4,2271.27143,-2870.49562,-0.211544795,34797.462,62.6189704,23.4962985,7973938.14,2234.74671,-2692.64916,-0.196717779,54.8664021,0.0111915992,0.00594073951,90.9039187,0.00847250232,0.00430544697,384.926893,0.0043593166,0.0019717625,5778.66174,0.002588904,0.114590712,34797.462,0.0259919912,46.0512352,1.00428849,60.0005997,0.00700134919,4610479.17,3150.93537,-13.1697029,-0.0733013671,1.07106885,60.0361769,0.420000772,6143463.81,2828.72182,54.1265538,0.0336960256,2.38836704,61.0439053,11.0355601,7530155.03,2473.65877,324.767528,0.0356265239,6.9718369,62.3462412,21.7151965,8024785.08,2316.42189,-10.6389937,-0.000805938613,12.6842226,62.4871904,22.6659265,8065804.32,2286.85134,-37.8766883,-0.00280131161
40,258.631057,2066.72019,6775437.19,341.14376,2102.48162,6782667.54,629.08359,2158.71405,6861404.29,4279.15727,2231.8376,7520221.67,33238.9901,2233.5806,7902997.93,258.631057,2066.72019,6775437.19,6775437.19,2067.6519,-3685.15645,-0.323032397,341.14376,2102.48162,6782667.54,6782667.54,2103.39756,-3387.50004,-0.296402769,629.08359,2158.71405,6861404.29,6861404.29,2159.61101,-2965.77677,-0.249421113,4279.15727,2231.8376,7520221.67,7520221.67,2232.71252,-2728.38453,-0.209123418,33238.9901,2233.5806,7902997.93,7902997.93,2234.45708,-2734.20976,-0.20179832,258.628543,0.00132660722,0.000153792342,341.080461,0.00163251128,0.000271321379,627.489432,0.00252022297,0.000713791289,4252.08228,0.00343991192,0.00143731607,32650.8853,0.0152663035,22.8609982,258.628543,2066.73767,6775471.18,6775471.18,2067.81331,-613.443471,-0.0405218048,341.080461,2102.82218,6783293.69,6783293.69,2103.8791,-612.084756,-0.0406319919,627.489432,2163.51881,6869622.72,6869622.72,2164.54583,-618.223174,-0.0410115992,4252.08228,2245.04666,7540329.54,7540329.54,2246.03628,-637.684576,-0.0404818854,32650.8837,2270.56351,7966926.5,7966926.5,2271.54201,-644.775915,-0.0398314624
