0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2368,92,3,2430,92,3,2494,92,3,2523,92,3,2526,92,3,2368,92,3,5,130,0,0,2430,92,3,5,130,0,0,2494,92,3,5,130,0,0,2523,92,3,5,130,0,0,2526,92,3,5,130,0,0,2368,0,0,2430,0,0,2494,0,0,2523,0,0,2526,0,0,2368,92,3,5,130,0,0,2430,92,3,5,130,0,0,2494,92,3,5,130,0,0,2523,92,3,5,130,0,0,2526,92,3,5,130,0,0
2483,76,18504,3291,76,21759,4972,75,26588,6431,75,29206,6620,75,29474,2483,76,18504,18504,76,0,0,3291,76,21759,21759,76,0,0,4972,75,26588,26588,75,0,0,6431,75,29206,29206,75,0,0,6620,75,29474,29474,75,0,0,229,0,0,441,0,0,955,0,0,1401,0,0,1457,0,0,205,90,72480,72480,90,0,0,368,86,65889,65889,86,0,0,729,84,67334,67334,84,0,0,1026,84,70726,70726,84,0,0,1063,84,71154,71154,84,0,0
669,7735,26631967,856,7773,26771036,1144,7798,26837820,1323,7804,26840804,1343,7805,26840146,669,7735,26631967,26723793,7801,14527,0,856,7773,26771036,26861943,7842,-4155,0,1144,7798,26837820,26932428,7872,-27286,0,1323,7804,26840804,26930749,7878,-36968,0,1343,7805,26840146,26928982,7878,-37578,0,669,0,0,856,0,0,1144,0,0,1323,0,0,1343,0,0,669,7735,26631967,26631967,7735,-105,0,856,7773,26771036,26771036,7773,-173,0,1144,7798,26837820,26837820,7798,-226,0,1323,7804,26840804,26840804,7805,-236,0,1343,7805,26840146,26840146,7805,-236,0
161,71,129,264,72,134,595,73,159,1008,74,169,1069,74,170,161,71,129,7835983,2560,748,0,264,72,134,7900304,2566,1298,0,595,73,159,8162625,2485,1731,0,1008,74,169,7931658,2179,2272,0,1069,74,170,7850388,2123,2385,0,161,0,0,264,0,0,595,0,0,1008,0,0,1069,0,0,33,94,0,8010272,3165,0,0,58,93,0,8067546,3171,0,0,170,94,0,8440904,3219,0,0,320,93,0,8648004,3244,0,0,342,93,0,8666107,3246,0,0
766,622,1023920,1056,514,856924,2051,362,589211,3688,284,433025,3968,277,418041,766,622,1023920,1024188,628,-55033,0,1056,514,856924,857606,523,-62247,0,2051,362,589211,591354,378,-70343,0,3688,284,433025,437142,307,-74002,0,3968,277,418041,422454,301,-74312,0,145,0,0,147,0,0,149,0,0,149,0,0,149,0,0,145,2002,1186516,1186747,2004,2316,0,147,2001,1185671,1186164,2003,3829,0,149,2000,1184821,1185888,2003,5803,0,149,1999,1184437,1185949,2003,6867,0,149,1999,1184399,1185964,2003,6980,0
5,64,63,8,64,61,15,63,54,23,63,50,24,63,49,5,64,63,8438478,2659,215,0,8,64,61,8670810,2655,438,0,15,63,54,8679757,2459,719,0,23,63,50,8048376,2057,975,0,24,63,49,7914059,1993,1010,0,5,0,0,8,0,0,15,0,0,23,0,0,24,0,0,5,64,63,8593339,3273,28,0,8,64,61,8864413,3304,299,0,15,63,54,9105614,3322,482,0,23,63,50,9138446,3319,521,0,24,63,49,9137650,3318,524,0
789,7048,23687502,1235,7130,24029572,2617,7315,24642928,4322,7424,24993131,4574,7435,25028729,789,7048,23687501,23961828,7110,417472,0,1235,7130,24029572,24230008,7191,466857,0,2617,7315,24642927,24781572,7382,386517,0,4322,7424,24993131,25106257,7496,266888,0,4574,7435,25028729,25139134,7507,251364,0,789,0,0,1235,0,0,2617,0,0,4322,0,0,4574,0,0,789,7048,23687502,23687502,7049,-9071,0,1235,7130,24029572,24029572,7130,-9401,0,2617,7315,24642928,24642928,7316,-9944,0,4322,7424,24993131,24993131,7425,-9146,0,4574,7435,25028729,25028729,7436,-8990,0
13,68,65866,15,109,247922,19,243,828067,22,366,1324879,22,381,1383784,13,68,65866,1000458,916,19999,0,15,109,247922,1070445,1005,-592,0,19,243,828067,1319896,966,-112774,0,22,366,1324879,1616217,866,-186682,0,22,381,1383784,1655667,857,-192434,0,13,0,0,15,0,0,19,0,0,22,0,0,22,0,0,13,68,65866,860013,2005,-48171,0,15,109,247922,903310,1958,-134480,0,19,243,828067,1245775,1872,-339470,0,22,366,1324879,1652794,1816,-486357,0,22,381,1383784,1704399,1810,-502726,0
321,66,0,490,66,0,970,66,1,1540,66,1,1625,66,1,321,66,0,7615166,2583,41,0,490,66,0,7769171,2583,18,0,970,66,1,8074923,2510,-7,0,1540,66,1,7932279,2225,-3,0,1625,66,1,7864283,2171,-1,0,321,0,0,490,0,0,970,0,0,1540,0,0,1625,0,0,321,66,0,7648026,3130,49,0,490,66,0,7849741,3148,29,0,970,66,1,8286381,3198,0,0,1540,66,1,8536629,3229,-14,0,1625,66,1,8559610,3231,-15,0
488,5070,16395673,607,5066,16445952,1419,5224,16406472,3758,5375,17004104,4261,5387,17084968,488,5070,16395673,16398607,5076,35704,0,607,5066,16445952,16449345,5073,47122,0,1419,5224,16406472,16411442,5231,66681,0,3758,5375,17004104,17012591,5382,88915,0,4261,5387,17084968,17094121,5394,91914,0,277,0,0,327,0,0,451,0,0,599,0,0,621,0,0,488,5070,16395673,16395814,5073,-290059,0,607,5066,16445952,16446086,5069,-197635,0,1419,5224,16406472,16406599,5227,-178007,0,3758,5375,17004104,17004223,5378,-215427,0,4261,5387,17084968,17085086,5389,-218106,0
742,2127,7392559,994,1884,6800161,1754,1301,5228885,2987,857,3666051,3203,810,3480497,746,2125,7366764,7366764,2126,0,0,1000,1883,6778711,6778711,1884,0,0,1761,1303,5220110,5220110,1304,0,0,2995,859,3665522,3665522,860,0,0,3211,812,3480610,3480610,814,0,0,79,0,0,94,0,0,115,0,0,126,0,0,127,0,0,500,3036,7865983,7865983,3036,0,0,591,3022,7573246,7573246,3023,0,0,710,3008,7272990,7272990,3008,0,0,774,3001,7136686,7136686,3002,0,0,781,3000,7123043,7123043,3001,0,0
2270,71,26534,3807,74,26065,9020,75,23744,15628,75,23700,16622,75,23772,2270,71,26534,26534,71,0,0,3807,74,26065,26065,74,0,0,9020,75,23744,23744,75,0,0,15628,75,23700,23700,75,0,0,16622,75,23772,23772,75,0,0,1559,0,0,2225,0,0,4179,0,0,6448,0,0,6779,0,0,851,71,22979,22979,71,0,0,1077,73,27610,27610,73,0,0,1622,76,31946,31946,76,0,0,2169,78,35051,35051,78,0,0,2246,78,35478,35478,78,0,0
