,frame.time_epoch,frame.len,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ipv6.src,ipv6.dst
234,1499454112.2898028,195,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
38,1499454995.9105785,161,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
531,1499454877.6757052,77,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
246,1499450409.599475,120,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
183,1499455011.174948,114,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
598,1499453993.3364866,166,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
420,1499450327.3595634,112,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
429,1499454263.9230404,120,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
488,1499455073.8760796,151,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
419,1499455095.765515,137,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,55555.0,,,,,,,,,,,
